,num,mb_sex,mb_birth,mb_4,mb_6,태그-직장,태그-결혼여부
18725,16507,F,20050224,기타,미혼,A04-00,A06-01
18726,22853,M,20050224,기타,미혼,A04-00,A06-01
18727,12450,F,20050225,기타,미혼,A04-00,A06-01
18728,13229,F,20050225,기타,미혼,A04-00,A06-01
18729,15940,M,20050227,기타,미혼,A04-00,A06-01
18730,16353,F,20050227,프리랜서,미혼,A04-07,A06-01
18731,10906,M,20050228,기타,,A04-00,A06-00
18732,25431,M,20050228,기타,미혼,A04-00,A06-01
18733,26241,M,20050228,기타,,A04-00,A06-00
18734,28556,F,20050228,기타,미혼,A04-00,A06-01
18735,21114,M,20050301,기타,미혼,A04-00,A06-01
18736,21426,F,20050301,기타,미혼,A04-00,A06-01
18737,28168,F,20050301,False,,A04-00,A06-00
18738,25781,F,20050302,기타,미혼,A04-00,A06-01
18739,6256,M,20050303,기타,미혼,A04-00,A06-01
18740,6797,M,20050303,기타,미혼,A04-00,A06-01
18741,8215,M,20050303,기타,미혼,A04-00,A06-01
18742,9719,M,20050303,False,,A04-00,A06-00
18743,10122,M,20050303,기타,,A04-00,A06-00
18744,14554,M,20050303,기타,미혼,A04-00,A06-01
18745,14952,M,20050303,False,,A04-00,A06-00
18746,6162,M,20050304,기타,미혼,A04-00,A06-01
18747,7156,M,20050304,기타,미혼,A04-00,A06-01
18748,8362,M,20050304,기타,미혼,A04-00,A06-01
18749,9336,M,20050304,False,,A04-00,A06-00
18750,9985,M,20050304,기타,미혼,A04-00,A06-01
18751,12347,M,20050304,False,,A04-00,A06-00
18752,25230,M,20050304,False,,A04-00,A06-00
18753,6289,M,20050305,기타,미혼,A04-00,A06-01
18754,7036,M,20050305,기타,미혼,A04-00,A06-01
18755,18657,M,20050305,기타,미혼,A04-00,A06-01
